timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-13 04:53:15,74.32,,,41.57%,53.84%,-11.65%,12.3%
2025-06-13 04:54:20,74.3,,,17.1%,38.51%,14.01%,56.33%
