timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-13 00:20:52,92.78,,,7.23%,45.03%,54.91%,62.09%
2025-06-13 00:21:23,92.76,,,84.5%,31.87%,71.49%,83.93%
2025-06-13 00:22:27,92.74,,,76.44%,50.11%,56.61%,79.86%
2025-06-13 00:23:29,92.72,,,19.03%,58.94%,22.88%,40.93%
2025-06-13 00:24:11,92.7,,,80.39%,26.76%,84.44%,-1.76%
2025-06-13 00:25:13,92.72,,,42.79%,70.9%,9.36%,87.33%
2025-06-13 00:26:21,92.72,,,75.87%,23.63%,50.84%,45.13%
2025-06-13 00:27:23,92.73,,,9.91%,48.85%,41.01%,24.31%
2025-06-13 00:28:07,92.75,,,16.32%,52.59%,3.54%,66.25%
