timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-12 23:55:00,20.82,,,-3.84%,-50.65%,-42.92%,10.84%
2025-06-12 23:55:23,20.85,,,11.93%,-49.81%,-27.66%,-6.22%
2025-06-12 23:56:14,20.83,,,0.49%,-55.42%,-10.3%,-47.66%
2025-06-12 23:57:23,20.81,,,-38.01%,-17.44%,19.66%,-45.87%
2025-06-12 23:58:25,20.79,,,0.35%,14.54%,6.86%,-40.03%
